Rank,Artist,Song,Year,ArtistSong
1,Gordon Jenkins and The Weavers,Goodnight Irene,1950,Gordon Jenkins and The WeaversGoodnight Irene
2,Nat King Cole,Mona Lisa,1950,Nat King ColeMona Lisa
3,Anton Karas,Third Man Theme,1950,Anton KarasThird Man Theme
4,Gary and Bing Crosby,Sam’s Song,1950,Gary and Bing CrosbySam’s Song
5,Gary and Bing Crosby,Simple Melody,1950,Gary and Bing CrosbySimple Melody
6,Teresa Brewer,"Music, Music, Music",1950,"Teresa BrewerMusic, Music, Music"
7,Guy Lombardo,Third Man Theme,1950,Guy LombardoThird Man Theme
8,Red Foley,Chattanoogie Shoe Shine Boy,1950,Red FoleyChattanoogie Shoe Shine Boy
9,Sammy Kaye,Harbor Lights,1950,Sammy KayeHarbor Lights
10,Sammy Kaye and Don Cornell,It Isn’t Fair,1950,Sammy Kaye and Don CornellIt Isn’t Fair
1,Nat King Cole,Too Young,1951,Nat King ColeToo Young
2,Tony Bennett,Because Of You,1951,Tony BennettBecause Of You
3,Les Paul and Mary Ford,How High The Moon,1951,Les Paul and Mary FordHow High The Moon
4,Rosemary Clooney,Come On-a My House,1951,Rosemary ClooneyCome On-a My House
5,Mario Lanza,Be My Love,1951,Mario LanzaBe My Love
6,Weavers,On Top Of Old Smoky,1951,WeaversOn Top Of Old Smoky
7,Tony Bennett,"Cold, Cold Heart",1951,"Tony BennettCold, Cold Heart"
8,Perry Como,If,1951,Perry ComoIf
9,Mario Lanza,Loveliest Night Of The Year,1951,Mario LanzaLoveliest Night Of The Year
10,Patti Page,Tennessee Waltz,1951,Patti PageTennessee Waltz
1,Leroy Anderson,Blue Tango,1952,Leroy AndersonBlue Tango
2,Kay Starr,Wheel Of Fortune,1952,Kay StarrWheel Of Fortune
3,Johnnie Ray,Cry,1952,Johnnie RayCry
4,Jo Stafford,You Belong To Me,1952,Jo StaffordYou Belong To Me
5,Vera Lynn,"Auf Wiederseh’n, Sweetheart",1952,"Vera LynnAuf Wiederseh’n, Sweetheart"
6,Rosemary Clooney,Half As Much,1952,Rosemary ClooneyHalf As Much
7,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,1952,Eddie Fisher and Hugo WinterhalterWish You Were Here
8,Patti Page,I Went To Your Wedding,1952,Patti PageI Went To Your Wedding
9,Al Martino,Here In My Heart,1952,Al MartinoHere In My Heart
10,Percy Faith,Delicado,1952,Percy FaithDelicado
1,Percy Faith,Song From Moulin Rouge,1953,Percy FaithSong From Moulin Rouge
2,Les Paul and Mary Ford,Vaya Con Dios,1953,Les Paul and Mary FordVaya Con Dios
