URI,Artist,Songs,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence,WH,War?,,,,,,,,,
spotify:track:79s3pSe1u6ggQBEwVPm58Z,Bobby Lewis,Tossin' And Turnin',1961,47,0.225,0.569,0.722,0,-8.914,0.0393,142.736,0.965,D,Peace,,,,,,,,,
spotify:track:6zFsz86nAj5gcvzyVqNL3k,Patsy Cline,I Fall To Pieces - Single Version,1961,58,0.917,0.481,0.0568,0,-20.508,0.0357,111.799,0.505,D,Peace,,,,,,,,,
spotify:track:45Szkclj1lt4ubm7RFK68t,Del Shannon,Runaway,1961,59,0.153,0.594,0.533,1.49E-05,-7.993,0.0438,78.552,0.729,D,Peace,,,,,,,,,
spotify:track:1paWReMsPIqKGEOxdlHT2D,The Jive Five,My True Story,1961,36,0.768,0.254,0.465,0,-7.421,0.0325,183.362,0.642,D,Peace,,,,,,,,,
spotify:track:2XPEv2sB6c44DSocT2TwAc,Chubby Checker,Pony Time,1961,29,0.00868,0.453,0.609,3.43E-05,-6.662,0.0296,77.36,0.96,D,Peace,,,,,,,,,
spotify:track:789lq0oHhOa4pHh2y9rjkN,The String-A-Longs,Wheels,1961,30,0.689,0.787,0.623,0.0932,-8.241,0.0359,128.327,0.869,D,Peace,,Democrat,Republican,,,,war,peace,
spotify:track:6CqTD9nWwf8R1yPVkIVdF5,Dee Clark,Raindrops,1961,18,0.452,0.381,0.719,0,-7.613,0.0494,114.086,0.563,D,Peace,,n=194,n=355,p value,,,195,n=355,
spotify:track:39e0LjVC05qRY15TMmWGMN,Mr. Acker Bilk & His Paramount Jazz Band,Stranger on the Shore,1962,6,0.988,0.405,0.0201,0.888,-23.027,0.0376,77.951,0.271,D,Peace,Popularity,51.89175258,58.16901408,0.0001,,Popularity,51.85051546,63.75625,0.0001
spotify:track:79nJj5dMyTsUzKvN5jUXsJ,Ray Charles,I Can't Stop Loving You,1962,56,0.815,0.31,0.279,0,-13.552,0.0308,79.397,0.377,D,Peace,,19.31985928,17.07509661,,,,17.17491015,14.07381568,
spotify:track:6jouZcdraQvsbh7SWkLEui,Dee Dee Sharp,Mashed Potato Time,1962,45,0.0705,0.674,0.473,4.79E-05,-7.193,0.0362,125.046,0.847,D,Peace,,,,,,,,,
spotify:track:0qYok0f8O5DE8yJSo146dn,Bobby Vinton,Roses Are Red (My Love) - Single Version,1962,51,0.828,0.515,0.218,0,-10.071,0.0287,102.997,0.534,D,Peace,Acousticness,0.438402706,0.323949028,0.0001,,Acousticness,0.447788789,0.211846088,0.0001
spotify:track:00vH2PsEQTGRyJYhyIyDbr,Various Artists,The Stripper,1962,33,0.658,0.483,0.46,0.924,-10.055,0.0282,94.185,0.564,D,Peace,,0.340840066,0.307488585,,,,0.336654836,0.132665738,
