,Year,UE_Rate,County,State,FIPS,Px_Rate
8726,2006,8.5,Aleutians East Borough, AK,02013,
20178,2006,5.7,Aleutians West Census Area, AK,02016,
22110,2006,5.3,Anchorage Borough/municipality, AK,02020,71.5
1128,2006,13.2,Bethel Census Area, AK,02050,
21400,2006,5.4,Bristol Bay Borough, AK,02060,
19431,2006,5.8,Denali Borough, AK,02068,
5847,2006,9.6,Dillingham Census Area, AK,02070,
20197,2006,5.7,Fairbanks North Star Borough, AK,02090,54.7
9761,2006,8.1,Haines Borough, AK,02100,
24721,2006,4.8,Juneau Borough/city, AK,02110,95.3
9688,2006,8.2,Kenai Peninsula Borough, AK,02122,89.1
18082,2006,6.1,Ketchikan Gateway Borough, AK,02130,144.4
11946,2006,7.5,Kodiak Island Borough, AK,02150,69.4
18032,2006,6.1,Lake and Peninsula Borough, AK,02164,
11945,2006,7.5,Matanuska-Susitna Borough, AK,02170,82.5
1928,2006,12.1,Nome Census Area, AK,02180,
14353,2006,6.9,North Slope Borough, AK,02185,
2757,2006,11.3,Northwest Arctic Borough, AK,02188,
21432,2006,5.4,Sitka Borough/city, AK,02220,
3580,2006,10.7,Southeast Fairbanks Census Area, AK,02240,
8765,2006,8.5,Valdez-Cordova Census Area, AK,02261,46.5
5930,2006,9.6,Yakutat Borough/city, AK,02282,
1214,2006,13.1,Yukon-Koyukuk Census Area, AK,02290,
31906,2006,3.3,Autauga , AL,01001,134.8
32409,2006,3.2,Baldwin , AL,01003,127.8
20160,2006,5.7,Barbour , AL,01005,78.1
27793,2006,4.2,Bibb , AL,01007,114.3
32485,2006,3.2,Blount , AL,01009,40.3
7597,2006,8.9,Bullock , AL,01011,34.6
20064,2006,5.7,Butler , AL,01013,105.4
28649,2006,4.1,Calhoun , AL,01015,165.7
19588,2006,5.8,Chambers , AL,01017,120.4
27808,2006,4.2,Cherokee , AL,01019,123.8
30658,2006,3.6,Chilton , AL,01021,109.0
20550,2006,5.6,Choctaw , AL,01023,60.2
17278,2006,6.2,Clarke , AL,01025,120.6
26583,2006,4.5,Clay , AL,01027,114.0
31173,2006,3.5,Cleburne , AL,01029,12.6
30503,2006,3.7,Coffee , AL,01031,118.6
25082,2006,4.7,Colbert , AL,01033,196.8
