UE,County,State,FIPS,Px Rate
8.5,Aleutians East Borough, AK,2013,–
5.7,Aleutians West Census Area, AK,2016,–
5.3,Anchorage Borough/municipality, AK,2020,71.5
13.2,Bethel Census Area, AK,2050,–
5.4,Bristol Bay Borough, AK,2060,–
5.8,Denali Borough, AK,2068,–
9.6,Dillingham Census Area, AK,2070,–
5.7,Fairbanks North Star Borough, AK,2090,54.7
8.1,Haines Borough, AK,2100,–
4.8,Juneau Borough/city, AK,2110,95.3
8.2,Kenai Peninsula Borough, AK,2122,89.1
6.1,Ketchikan Gateway Borough, AK,2130,144.4
7.5,Kodiak Island Borough, AK,2150,69.4
6.1,Lake and Peninsula Borough, AK,2164,–
7.5,Matanuska-Susitna Borough, AK,2170,82.5
12.1,Nome Census Area, AK,2180,–
6.9,North Slope Borough, AK,2185,–
11.3,Northwest Arctic Borough, AK,2188,–
5.4,Sitka Borough/city, AK,2220,–
10.7,Southeast Fairbanks Census Area, AK,2240,–
8.5,Valdez-Cordova Census Area, AK,2261,46.5
9.6,Yakutat Borough/city, AK,2282,–
13.1,Yukon-Koyukuk Census Area, AK,2290,–
3.3,Autauga , AL,1001,134.8
3.2,Baldwin , AL,1003,127.8
5.7,Barbour , AL,1005,78.1
4.2,Bibb , AL,1007,114.3
3.2,Blount , AL,1009,40.3
8.9,Bullock , AL,1011,34.6
5.7,Butler , AL,1013,105.4
4.1,Calhoun , AL,1015,165.7
5.8,Chambers , AL,1017,120.4
4.2,Cherokee , AL,1019,123.8
3.6,Chilton , AL,1021,109.0
5.6,Choctaw , AL,1023,60.2
6.2,Clarke , AL,1025,120.6
4.5,Clay , AL,1027,114.0
3.5,Cleburne , AL,1029,12.6
3.7,Coffee , AL,1031,118.6
4.7,Colbert , AL,1033,196.8
5.7,Conecuh , AL,1035,142.1
5.6,Coosa , AL,1037,25.2
3.9,Covington , AL,1039,202.1
4.0,Crenshaw , AL,1041,93.7
3.4,Cullman , AL,1043,140.6
4.7,Dale , AL,1045,64.0
8.2,Dallas , AL,1047,77.9
4.2,DeKalb , AL,1049,50.6
3.4,Elmore , AL,1051,83.0
5.0,Escambia , AL,1053,116.7
4.2,Etowah , AL,1055,126.2
4.2,Fayette , AL,1057,78.0
4.6,Franklin , AL,1059,160.3
3.8,Geneva , AL,1061,30.2
5.6,Greene , AL,1063,32.4
5.3,Hale , AL,1065,59.3
4.0,Henry , AL,1067,41.0
3.4,Houston , AL,1069,157.6
4.5,Jackson , AL,1071,108.9
4.0,Jefferson , AL,1073,119.4
5.2,Lamar , AL,1075,53.0
4.2,Lauderdale , AL,1077,132.7
4.8,Lawrence , AL,1079,45.9
3.4,Lee , AL,1081,70.6
3.7,Limestone , AL,1083,60.0
7.6,Lowndes , AL,1085,9.1
5.3,Macon , AL,1087,46.6
3.3,Madison , AL,1089,115.3
4.6,Marengo , AL,1091,114.1
4.4,Marion , AL,1093,216.0
3.5,Marshall , AL,1095,182.3
4.2,Mobile , AL,1097,127.7
6.0,Monroe , AL,1099,134.3
4.2,Montgomery , AL,1101,97.5
4.0,Morgan , AL,1103,151.8
8.4,Perry , AL,1105,–
5.1,Pickens , AL,1107,85.5
4.0,Pike , AL,1109,88.3
5.3,Randolph , AL,1111,56.4
5.9,Russell , AL,1113,139.5
2.7,Shelby , AL,1117,110.4
3.5,St. Clair , AL,1115,79.1
6.8,Sumter , AL,1119,39.0
5.2,Talladega , AL,1121,111.6
5.1,Tallapoosa , AL,1123,82.9
3.3,Tuscaloosa , AL,1125,105.1
4.6,Walker , AL,1127,304.1
5.8,Washington , AL,1129,37.8
8.7,Wilcox , AL,1131,45.4
4.9,Winston , AL,1133,121.4
7.6,Arkansas , AR,5001,64.3
7.5,Ashley , AR,5003,89.7
5.3,Baxter , AR,5005,120.9
3.3,Benton , AR,5007,81.9
4.9,Boone , AR,5009,152.4
7.0,Bradley , AR,5011,109.0
6.9,Calhoun , AR,5013,73.7
4.3,Carroll , AR,5015,32.7
8.3,Chicot , AR,5017,50.9
5.5,Clark , AR,5019,59.9
8.1,Clay , AR,5021,45.4
5.0,Cleburne , AR,5023,91.1
6.1,Cleveland , AR,5025,–
6.0,Columbia , AR,5027,89.9
4.9,Conway , AR,5029,36.8
4.8,Craighead , AR,5031,166.1
4.5,Crawford , AR,5033,118.8
6.8,Crittenden , AR,5035,103.2
7.2,Cross , AR,5037,71.5
6.5,Dallas , AR,5039,78.4
9.1,Desha , AR,5041,143.1
8.0,Drew , AR,5043,63.1
4.4,Faulkner , AR,5045,96.9
4.3,Franklin , AR,5047,13.8
5.1,Fulton , AR,5049,43.6
5.2,Garland , AR,5051,177.4
4.9,Grant , AR,5053,22.4
5.7,Greene , AR,5055,153.9
5.4,Hempstead , AR,5057,92.2
5.2,Hot Spring , AR,5059,85.2
5.4,Howard , AR,5061,118.0
5.5,Independence , AR,5063,171.7
6.2,Izard , AR,5065,64.4
7.7,Jackson , AR,5067,133.8
7.8,Jefferson , AR,5069,82.8
5.1,Johnson , AR,5071,26.4
7.0,Lafayette , AR,5073,–
6.8,Lawrence , AR,5075,28.6
9.1,Lee , AR,5077,–
8.0,Lincoln , AR,5079,32.9
4.5,Little River , AR,5081,82.0
4.8,Logan , AR,5083,43.4
4.2,Lonoke , AR,5085,67.5
3.6,Madison , AR,5087,60.7
5.2,Marion , AR,5089,47.9
4.6,Miller , AR,5091,54.2
7.8,Mississippi , AR,5093,106.2
7.2,Monroe , AR,5095,50.7
4.7,Montgomery , AR,5097,60.1
5.5,Nevada , AR,5099,–
5.2,Newton , AR,5101,–
8.0,Ouachita , AR,5103,96.5
5.0,Perry , AR,5105,52.9
8.1,Phillips , AR,5107,155.6
5.0,Pike , AR,5109,–
6.7,Poinsett , AR,5111,60.0
4.7,Polk , AR,5113,135.1
4.7,Pope , AR,5115,133.7
5.6,Prairie , AR,5117,99.4
4.8,Pulaski , AR,5119,103.0
7.2,Randolph , AR,5121,79.0
4.4,Saline , AR,5125,89.3
4.4,Scott , AR,5127,194.4
4.7,Searcy , AR,5129,–
4.6,Sebastian , AR,5131,171.7
4.0,Sevier , AR,5133,28.5
6.7,Sharp , AR,5135,157.1
8.9,St. Francis , AR,5123,73.6
5.5,Stone , AR,5137,120.1
6.6,Union , AR,5139,115.3
6.0,Van Buren , AR,5141,69.0
3.6,Washington , AR,5143,94.2
5.7,White , AR,5145,103.9
8.3,Woodruff , AR,5147,–
4.5,Yell , AR,5149,24.2
10.0,Apache , AZ,4001,16.0
4.5,Cochise , AZ,4003,70.3
4.4,Coconino , AZ,4005,55.1
5.2,Gila , AZ,4007,109.4
5.1,Graham , AZ,4009,99.6
3.8,Greenlee , AZ,4011,–
5.8,La Paz , AZ,4012,52.1
3.6,Maricopa , AZ,4013,71.7
4.3,Mohave , AZ,4015,117.2
7.4,Navajo , AZ,4017,67.6
4.1,Pima , AZ,4019,86.3
5.0,Pinal , AZ,4021,69.0
7.6,Santa Cruz , AZ,4023,31.5
4.0,Yavapai , AZ,4025,93.7
15.0,Yuma , AZ,4027,46.9
4.4,Alameda , CA,6001,39.7
6.4,Alpine , CA,6003,–
5.3,Amador , CA,6005,105.0
6.2,Butte , CA,6007,154.1
5.9,Calaveras , CA,6009,87.5
12.2,Colusa , CA,6011,32.2
4.3,Contra Costa , CA,6013,50.6
6.9,Del Norte , CA,6015,127.1
4.6,El Dorado , CA,6017,83.1
8.0,Fresno , CA,6019,61.5
8.0,Glenn , CA,6021,84.1
5.5,Humboldt , CA,6023,132.3
15.4,Imperial , CA,6025,51.7
4.6,Inyo , CA,6027,76.0
7.5,Kern , CA,6029,59.3
8.4,Kings , CA,6031,60.0
7.7,Lake , CA,6033,139.0
7.9,Lassen , CA,6035,105.3
4.8,Los Angeles , CA,6037,37.9
7.0,Madera , CA,6039,48.6
3.5,Marin , CA,6041,55.7
5.7,Mariposa , CA,6043,33.2
5.2,Mendocino , CA,6045,114.1
9.4,Merced , CA,6047,60.6
7.8,Modoc , CA,6049,114.4
4.4,Mono , CA,6051,59.7
6.9,Monterey , CA,6053,62.5
3.9,Napa , CA,6055,40.2
4.4,Nevada , CA,6057,101.0
3.4,Orange , CA,6059,48.3
4.2,Placer , CA,6061,75.5
7.7,Plumas , CA,6063,106.1
5.0,Riverside , CA,6065,53.2
4.8,Sacramento , CA,6067,57.9
7.2,San Benito , CA,6069,49.3
4.8,San Bernardino , CA,6071,47.5
4.0,San Diego , CA,6073,44.0
4.2,San Francisco /city, CA,6075,42.7
7.4,San Joaquin , CA,6077,60.5
3.9,San Luis Obispo , CA,6079,77.9
3.7,San Mateo , CA,6081,39.3
4.0,Santa Barbara , CA,6083,66.7
4.5,Santa Clara , CA,6085,30.3
5.6,Santa Cruz , CA,6087,77.2
6.6,Shasta , CA,6089,179.6
7.4,Sierra , CA,6091,–
8.0,Siskiyou , CA,6093,107.3
4.9,Solano , CA,6095,48.3
4.0,Sonoma , CA,6097,70.1
8.0,Stanislaus , CA,6099,98.4
8.9,Sutter , CA,6101,134.3
6.5,Tehama , CA,6103,109.4
9.9,Trinity , CA,6105,120.5
8.5,Tulare , CA,6107,72.1
5.8,Tuolumne , CA,6109,126.3
4.3,Ventura , CA,6111,59.9
5.2,Yolo , CA,6113,55.8
8.8,Yuba , CA,6115,76.1
4.8,Adams , CO,8001,52.6
4.6,Alamosa , CO,8003,172.7
4.3,Arapahoe , CO,8005,56.9
4.1,Archuleta , CO,8007,50.0
3.1,Baca , CO,8009,80.4
5.6,Bent , CO,8011,32.7
3.7,Boulder , CO,8013,59.3
4.3,Broomfield /city, CO,8014,51.8
4.3,Chaffee , CO,8015,88.7
2.7,Cheyenne , CO,8017,45.0
4.0,Clear Creek , CO,8019,48.2
6.6,Conejos , CO,8021,–
8.4,Costilla , CO,8023,–
6.8,Crowley , CO,8025,32.3
4.3,Custer , CO,8027,–
4.0,Delta , CO,8029,81.2
4.8,Denver /city, CO,8031,42.8
6.5,Dolores , CO,8033,–
3.6,Douglas , CO,8035,55.5
3.4,Eagle , CO,8037,51.9
4.6,El Paso , CO,8041,66.3
4.0,Elbert , CO,8039,24.1
5.5,Fremont , CO,8043,66.3
3.0,Garfield , CO,8045,93.4
4.0,Gilpin , CO,8047,–
3.2,Grand , CO,8049,51.1
3.1,Gunnison , CO,8051,49.8
3.1,Hinsdale , CO,8053,–
6.0,Huerfano , CO,8055,93.5
2.9,Jackson , CO,8057,–
4.2,Jefferson , CO,8059,72.2
3.4,Kiowa , CO,8061,77.0
3.0,Kit Carson , CO,8063,–
3.4,La Plata , CO,8067,80.2
4.2,Lake , CO,8065,72.6
3.9,Larimer , CO,8069,65.4
4.0,Las Animas , CO,8071,117.3
3.6,Lincoln , CO,8073,–
3.5,Logan , CO,8075,61.4
4.0,Mesa , CO,8077,93.1
4.9,Mineral , CO,8079,–
3.8,Moffat , CO,8081,95.9
4.4,Montezuma , CO,8083,77.6
4.0,Montrose , CO,8085,85.9
3.9,Morgan , CO,8087,70.8
6.1,Otero , CO,8089,105.9
3.1,Ouray , CO,8091,49.8
3.9,Park , CO,8093,14.5
3.4,Phillips , CO,8095,38.0
3.1,Pitkin , CO,8097,23.5
5.8,Prowers , CO,8099,78.6
5.6,Pueblo , CO,8101,102.4
2.7,Rio Blanco , CO,8103,–
4.6,Rio Grande , CO,8105,50.1
3.2,Routt , CO,8107,86.2
6.2,Saguache , CO,8109,–
4.9,San Juan , CO,8111,–
3.4,San Miguel , CO,8113,42.9
3.1,Sedgwick , CO,8115,81.0
3.1,Summit , CO,8117,75.6
4.3,Teller , CO,8119,76.5
3.5,Washington , CO,8121,41.4
4.7,Weld , CO,8123,56.5
2.6,Yuma , CO,8125,64.3
3.8,Fairfield , CT,9001,50.4
4.7,Hartford , CT,9003,68.9
4.0,Litchfield , CT,9005,67.0
3.7,Middlesex , CT,9007,67.4
4.8,New Haven , CT,9009,73.3
4.1,New London , CT,9011,73.0
3.8,Tolland , CT,9013,47.8
5.2,Windham , CT,9015,73.7
3.2,Kent , DE,10001,80.9
3.8,New Castle , DE,10003,81.6
3.3,Sussex , DE,10005,105.7
2.7,Alachua , FL,12001,87.4
2.8,Baker , FL,12003,148.0
3.1,Bay , FL,12005,120.4
2.9,Bradford , FL,12007,94.0
3.3,Brevard , FL,12009,95.5
3.1,Broward , FL,12011,66.2
3.2,Calhoun , FL,12013,77.1
3.4,Charlotte , FL,12015,102.3
3.8,Citrus , FL,12017,100.0
3.0,Clay , FL,12019,94.9
3.1,Collier , FL,12021,76.1
3.2,Columbia , FL,12023,127.3
3.6,DeSoto , FL,12027,60.1
3.5,Dixie , FL,12029,54.7
3.5,Duval , FL,12031,90.3
3.2,Escambia , FL,12033,121.6
4.5,Flagler , FL,12035,91.9
3.0,Franklin , FL,12037,110.5
3.5,Gadsden , FL,12039,58.4
2.9,Gilchrist , FL,12041,59.8
3.9,Glades , FL,12043,–
3.1,Gulf , FL,12045,118.2
3.8,Hamilton , FL,12047,58.5
4.0,Hardee , FL,12049,56.0
6.3,Hendry , FL,12051,79.7
4.5,Hernando , FL,12053,101.3
3.7,Highlands , FL,12055,73.7
3.3,Hillsborough , FL,12057,110.5
3.0,Holmes , FL,12059,85.3
4.1,Indian River , FL,12061,99.0
3.6,Jackson , FL,12063,79.3
2.9,Jefferson , FL,12065,65.0
2.8,Lafayette , FL,12067,28.1
3.4,Lake , FL,12069,85.4
2.9,Lee , FL,12071,92.8
2.7,Leon , FL,12073,78.9
3.5,Levy , FL,12075,96.0
2.6,Liberty , FL,12077,13.0
5.2,Madison , FL,12079,74.0
3.1,Manatee , FL,12081,91.1
3.4,Marion , FL,12083,92.0
3.5,Martin , FL,12085,82.8
2.8,Miami-Dade , FL,12086,33.0
2.5,Monroe , FL,12087,110.2
2.9,Nassau , FL,12089,101.7
2.4,Okaloosa , FL,12091,117.2
4.1,Okeechobee , FL,12093,100.5
3.1,Orange , FL,12095,62.0
3.4,Osceola , FL,12097,63.7
3.7,Palm Beach , FL,12099,73.7
3.9,Pasco , FL,12101,110.2
3.4,Pinellas , FL,12103,100.5
3.7,Polk , FL,12105,85.7
3.7,Putnam , FL,12107,102.1
3.0,Santa Rosa , FL,12113,110.3
3.1,Sarasota , FL,12115,91.3
2.9,Seminole , FL,12117,67.5
2.7,St. Johns , FL,12109,81.4
4.2,St. Lucie , FL,12111,68.5
2.8,Sumter , FL,12119,51.1
3.2,Suwannee , FL,12121,76.4
4.0,Taylor , FL,12123,104.4
2.6,Union , FL,12125,59.3
3.3,Volusia , FL,12127,97.2
2.5,Wakulla , FL,12129,76.2
2.2,Walton , FL,12131,105.2
3.3,Washington , FL,12133,139.0
5.5,Appling , GA,13001,88.9
5.4,Atkinson , GA,13003,49.4
4.6,Bacon , GA,13005,145.7
5.1,Baker , GA,13007,–
5.4,Baldwin , GA,13009,85.0
3.2,Banks , GA,13011,7.0
4.2,Barrow , GA,13013,92.0
4.9,Bartow , GA,13015,97.5
5.7,Ben Hill , GA,13017,133.3
4.1,Berrien , GA,13019,100.1
5.7,Bibb , GA,13021,142.0
5.9,Bleckley , GA,13023,128.9
4.7,Brantley , GA,13025,–
4.1,Brooks , GA,13027,75.7
3.5,Bryan , GA,13029,55.4
4.3,Bulloch , GA,13031,78.0
6.7,Burke , GA,13033,72.0
5.4,Butts , GA,13035,85.6
6.0,Calhoun , GA,13037,–
4.1,Camden , GA,13039,87.0
4.2,Candler , GA,13043,130.0
4.9,Carroll , GA,13045,120.0
3.9,Catoosa , GA,13047,138.3
4.6,Charlton , GA,13049,91.7
4.1,Chatham , GA,13051,97.5
9.7,Chattahoochee , GA,13053,–
5.0,Chattooga , GA,13055,103.4
3.7,Cherokee , GA,13057,75.5
4.3,Clarke , GA,13059,113.4
4.3,Clay , GA,13061,108.6
5.9,Clayton , GA,13063,52.1
5.0,Clinch , GA,13065,114.7
4.3,Cobb , GA,13067,74.9
5.3,Coffee , GA,13069,145.7
4.2,Colquitt , GA,13071,72.5
4.1,Columbia , GA,13073,91.3
